"","FUS","hnRNPA1","HspB8","RBM14","TAF15","TDP43","Ddx4","DYRK3","Era","UBQ2","control"
"FUS",1991,1644,1096,1689,1099,1790,1409,1668,1270,1441,1168
"hnRNPA1",1163,1486,1435,1879,1551,3535,1283,4035,1416,1359,3568
"HspB8",1435,1842,2592,2403,2544,1932,2203,2329,1860,2494,1754
"RBM14",2991,2817,2265,3969,3264,3566,4785,4978,4972,2408,4027
"TAF15",2145,2403,2816,2698,2542,2889,2672,3051,2740,4294,2305
"TDP43",1640,1720,1911,1862,2197,2004,1702,1868,1179,1922,1400
"control",1723,2056,2108,2174,2306,2022,2110,0,2109,2423,0
