well,BF,GFP,RFP,BFP
F06,TDP43_330_343_hnRNPA1,TDP43_331_343,hnRNPA1,BLANK
F07,BLANK,BLANK,BLANK,BLANK
F08,TDP43_330_343_hspB8,TDP43_331_343,HspB8,BLANK
F09,BLANK,BLANK,BLANK,BLANK
F10,BLANK,BLANK,BLANK,BLANK
F11,TDP43_330_343_RBM14,TDP43_331_343,RBM14,BLANK
F12,BLANK,BLANK,BLANK,BLANK
F13,TDP43_330_343_TAF15,TDP43_331_343,TAF15,BLANK
F14,TDP43_330_343_TDP43,TDP43_331_343,TDP43,BLANK
F15,TDP43_330_343_ValencyControl,TDP43_331_343,Valency,BLANK
F16,TDP43_330_343_Ddx4,TDP43_331_343,Ddx4,BLANK
F17,TDP43_330_343_DYRK3,TDP43_331_343,DYRK3,BLANK
F18,TDP43_330_343_ER_a,TDP43_331_343,ER_a,BLANK
F19,BLANK,BLANK,BLANK,BLANK
F20,BLANK,BLANK,BLANK,BLANK
F21,TDP43_330_343_UBQ2,TDP43_331_343,UBQ2,BLANK
F22,BLANK,BLANK,BLANK,BLANK
F23,BLANK,BLANK,BLANK,BLANK
F24,BLANK,BLANK,BLANK,BLANK
G01,BLANK,BLANK,BLANK,BLANK
G02,BLANK,BLANK,BLANK,BLANK
G03,BLANK,BLANK,BLANK,BLANK
G04,BLANK,BLANK,BLANK,BLANK
G05,BLANK,BLANK,BLANK,BLANK
G06,BLANK,BLANK,BLANK,BLANK
G07,BLANK,BLANK,BLANK,BLANK
G08,BLANK,BLANK,BLANK,BLANK
G09,BLANK,BLANK,BLANK,BLANK
G10,BLANK,BLANK,BLANK,BLANK
G11,BLANK,BLANK,BLANK,BLANK
G12,BLANK,BLANK,BLANK,BLANK
G13,BLANK,BLANK,BLANK,BLANK
G14,BLANK,BLANK,BLANK,BLANK
G15,BLANK,BLANK,BLANK,BLANK
G16,BLANK,BLANK,BLANK,BLANK
G17,BLANK,BLANK,BLANK,BLANK
G18,BLANK,BLANK,BLANK,BLANK
G19,BLANK,BLANK,BLANK,BLANK
G20,BLANK,BLANK,BLANK,BLANK
G21,BLANK,BLANK,BLANK,BLANK
G22,BLANK,BLANK,BLANK,BLANK
G23,BLANK,BLANK,BLANK,BLANK
G24,BLANK,BLANK,BLANK,BLANK
H01,BLANK,BLANK,BLANK,BLANK
H02,BLANK,BLANK,BLANK,BLANK
H03,BLANK,BLANK,BLANK,BLANK
H04,BLANK,BLANK,BLANK,BLANK
H05,BLANK,BLANK,BLANK,BLANK
H06,BLANK,BLANK,BLANK,BLANK
H07,BLANK,BLANK,BLANK,BLANK
H08,BLANK,BLANK,BLANK,BLANK
H09,BLANK,BLANK,BLANK,BLANK
H10,BLANK,BLANK,BLANK,BLANK
H11,BLANK,BLANK,BLANK,BLANK
H12,BLANK,BLANK,BLANK,BLANK
H13,BLANK,BLANK,BLANK,BLANK
H14,BLANK,BLANK,BLANK,BLANK
H15,BLANK,BLANK,BLANK,BLANK
H16,BLANK,BLANK,BLANK,BLANK
H17,BLANK,BLANK,BLANK,BLANK
H18,BLANK,BLANK,BLANK,BLANK
H19,BLANK,BLANK,BLANK,BLANK
H20,BLANK,BLANK,BLANK,BLANK
H21,BLANK,BLANK,BLANK,BLANK
H22,BLANK,BLANK,BLANK,BLANK
H23,BLANK,BLANK,BLANK,BLANK
H24,BLANK,BLANK,BLANK,BLANK
I01,BLANK,BLANK,BLANK,BLANK
I02,BLANK,BLANK,BLANK,BLANK
I03,TDP43_320_343_FUS,TDP43_320_343,FUS,BLANK
I04,BLANK,BLANK,BLANK,BLANK
I05,BLANK,BLANK,BLANK,BLANK
I06,TDP43_320_343_hnRNPA1,TDP43_320_343,hnRNPA1,BLANK
I07,BLANK,BLANK,BLANK,BLANK
I08,TDP43_320_343_hHspB8,TDP43_320_343,HspB8,BLANK
I09,BLANK,BLANK,BLANK,BLANK
I10,BLANK,BLANK,BLANK,BLANK
I11,TDP43_320_343_RBM14,TDP43_320_343,RBM14,BLANK
I12,BLANK,BLANK,BLANK,BLANK
I13,TDP43_320_343_TAF15,TDP43_320_343,TAF15,BLANK
I14,TDP43_320_343_TDP43,TDP43_320_343,TDP43,BLANK
I15,TDP43_320_343_ValencyControl,TDP43_320_343,Valency,BLANK
I16,TDP43_320_343_Ddx4,TDP43_320_343,Ddx4,BLANK
I17,TDP43_320_343_DYRK3,TDP43_320_343,DYRK3,BLANK
I18,TDP43_320_343_ER_a,TDP43_320_343,ER_a,BLANK
I19,BLANK,BLANK,BLANK,BLANK
I20,BLANK,BLANK,BLANK,BLANK
I21,TDP43_320_343_UBQ2,TDP43_320_343,UBQ2,BLANK
I22,BLANK,BLANK,BLANK,BLANK
I23,BLANK,BLANK,BLANK,BLANK
I24,BLANK,BLANK,BLANK,BLANK
J01,BLANK,BLANK,BLANK,BLANK
J02,BLANK,BLANK,BLANK,BLANK
J03,BLANK,BLANK,BLANK,BLANK
J04,BLANK,BLANK,BLANK,BLANK
J05,BLANK,BLANK,BLANK,BLANK
J06,BLANK,BLANK,BLANK,BLANK
J07,BLANK,BLANK,BLANK,BLANK
J08,BLANK,BLANK,BLANK,BLANK
J09,BLANK,BLANK,BLANK,BLANK
J10,BLANK,BLANK,BLANK,BLANK
J11,BLANK,BLANK,BLANK,BLANK
J12,BLANK,BLANK,BLANK,BLANK
J13,BLANK,BLANK,BLANK,BLANK
J14,BLANK,BLANK,BLANK,BLANK
J15,BLANK,BLANK,BLANK,BLANK
J16,BLANK,BLANK,BLANK,BLANK
J17,BLANK,BLANK,BLANK,BLANK
J18,BLANK,BLANK,BLANK,BLANK
J19,BLANK,BLANK,BLANK,BLANK
J20,BLANK,BLANK,BLANK,BLANK
J21,BLANK,BLANK,BLANK,BLANK
J22,BLANK,BLANK,BLANK,BLANK
J23,BLANK,BLANK,BLANK,BLANK
J24,BLANK,BLANK,BLANK,BLANK
K01,BLANK,BLANK,BLANK,BLANK
K02,BLANK,BLANK,BLANK,BLANK
K03,BLANK,BLANK,BLANK,BLANK
K04,BLANK,BLANK,BLANK,BLANK
K05,BLANK,BLANK,BLANK,BLANK
K06,BLANK,BLANK,BLANK,BLANK
K07,BLANK,BLANK,BLANK,BLANK
K08,BLANK,BLANK,BLANK,BLANK
K09,BLANK,BLANK,BLANK,BLANK
K10,BLANK,BLANK,BLANK,BLANK
K11,BLANK,BLANK,BLANK,BLANK
K12,BLANK,BLANK,BLANK,BLANK
K13,BLANK,BLANK,BLANK,BLANK
K14,BLANK,BLANK,BLANK,BLANK
K15,BLANK,BLANK,BLANK,BLANK
K16,BLANK,BLANK,BLANK,BLANK
K17,BLANK,BLANK,BLANK,BLANK
K18,BLANK,BLANK,BLANK,BLANK
K19,BLANK,BLANK,BLANK,BLANK
K20,BLANK,BLANK,BLANK,BLANK
K21,BLANK,BLANK,BLANK,BLANK
K22,BLANK,BLANK,BLANK,BLANK
K23,BLANK,BLANK,BLANK,BLANK
K24,BLANK,BLANK,BLANK,BLANK
L01,BLANK,BLANK,BLANK,BLANK
L02,BLANK,BLANK,BLANK,BLANK
L03,BLANK,BLANK,BLANK,BLANK
L04,BLANK,BLANK,BLANK,BLANK
L05,BLANK,BLANK,BLANK,BLANK
L06,BLANK,BLANK,BLANK,BLANK
L07,BLANK,BLANK,BLANK,BLANK
L08,BLANK,BLANK,BLANK,BLANK
L09,BLANK,BLANK,BLANK,BLANK
L10,BLANK,BLANK,BLANK,BLANK
L11,BLANK,BLANK,BLANK,BLANK
L12,BLANK,BLANK,BLANK,BLANK
L13,BLANK,BLANK,BLANK,BLANK
L14,BLANK,BLANK,BLANK,BLANK
L15,BLANK,BLANK,BLANK,BLANK
L16,BLANK,BLANK,BLANK,BLANK
L17,BLANK,BLANK,BLANK,BLANK
L18,BLANK,BLANK,BLANK,BLANK
L19,BLANK,BLANK,BLANK,BLANK
L20,BLANK,BLANK,BLANK,BLANK
L21,BLANK,BLANK,BLANK,BLANK
L22,BLANK,BLANK,BLANK,BLANK
L23,BLANK,BLANK,BLANK,BLANK
L24,BLANK,BLANK,BLANK,BLANK
M01,BLANK,BLANK,BLANK,BLANK
M02,BLANK,BLANK,BLANK,BLANK
M03,BLANK,BLANK,BLANK,BLANK
M04,BLANK,BLANK,BLANK,BLANK
M05,BLANK,BLANK,BLANK,BLANK
M06,BLANK,BLANK,BLANK,BLANK
M07,BLANK,BLANK,BLANK,BLANK
M08,BLANK,BLANK,BLANK,BLANK
M09,BLANK,BLANK,BLANK,BLANK
M10,BLANK,BLANK,BLANK,BLANK
M11,BLANK,BLANK,BLANK,BLANK
M12,BLANK,BLANK,BLANK,BLANK
M13,BLANK,BLANK,BLANK,BLANK
M14,BLANK,BLANK,BLANK,BLANK
M15,BLANK,BLANK,BLANK,BLANK
M16,BLANK,BLANK,BLANK,BLANK
M17,BLANK,BLANK,BLANK,BLANK
M18,BLANK,BLANK,BLANK,BLANK
M19,BLANK,BLANK,BLANK,BLANK
M20,BLANK,BLANK,BLANK,BLANK
M21,BLANK,BLANK,BLANK,BLANK
M22,BLANK,BLANK,BLANK,BLANK
M23,BLANK,BLANK,BLANK,BLANK
M24,BLANK,BLANK,BLANK,BLANK
N01,BLANK,BLANK,BLANK,BLANK
N02,BLANK,BLANK,BLANK,BLANK
N03,BLANK,BLANK,BLANK,BLANK
N04,BLANK,BLANK,BLANK,BLANK
N05,BLANK,BLANK,BLANK,BLANK
N06,BLANK,BLANK,BLANK,BLANK
N07,BLANK,BLANK,BLANK,BLANK
N08,BLANK,BLANK,BLANK,BLANK
N09,BLANK,BLANK,BLANK,BLANK
N10,BLANK,BLANK,BLANK,BLANK
N11,BLANK,BLANK,BLANK,BLANK
N12,BLANK,BLANK,BLANK,BLANK
N13,BLANK,BLANK,BLANK,BLANK
N14,BLANK,BLANK,BLANK,BLANK
N15,BLANK,BLANK,BLANK,BLANK
N16,BLANK,BLANK,BLANK,BLANK
N17,BLANK,BLANK,BLANK,BLANK
N18,BLANK,BLANK,BLANK,BLANK
N19,BLANK,BLANK,BLANK,BLANK
N20,BLANK,BLANK,BLANK,BLANK
N21,BLANK,BLANK,BLANK,BLANK
N22,BLANK,BLANK,BLANK,BLANK
N23,BLANK,BLANK,BLANK,BLANK
N24,BLANK,BLANK,BLANK,BLANK
O01,BLANK,BLANK,BLANK,BLANK
O02,BLANK,BLANK,BLANK,BLANK
O03,BLANK,BLANK,BLANK,BLANK
O04,BLANK,BLANK,BLANK,BLANK
O05,BLANK,BLANK,BLANK,BLANK
O06,BLANK,BLANK,BLANK,BLANK
O07,BLANK,BLANK,BLANK,BLANK
O08,BLANK,BLANK,BLANK,BLANK
O09,BLANK,BLANK,BLANK,BLANK
O10,BLANK,BLANK,BLANK,BLANK
